latitude,longitude,reference_mgal,notebook_baseline_mgal,notebook_prediction_mgal
43.94375,42.56875,128.77,100.91988,134.25362
43.94375,42.58125,129.82,101.3099,134.30255
43.94375,42.59375,128.01,99.74789,132.70917
43.94375,42.60625,125.61,97.29142,129.92636
43.94375,42.61875,123.9,95.86458,128.3469
43.94375,42.63125,119.49,92.53054,124.70668
43.94375,42.64375,119.26,91.644035,123.93407
43.94375,42.65625,118.06,90.713394,122.551796
43.94375,42.66875,121.46,93.42422,123.52392
43.94375,42.68125,122.07,94.689285,120.86662
43.94375,42.69375,127.19,100.40682,126.51938
43.94375,42.70625,120.47,95.59584,120.229164
43.94375,42.71875,113.68,87.48706,112.91987
43.94375,42.73125,110.44,83.93,112.05727
43.94375,42.74375,108.21,82.31527,110.42729
43.94375,42.75625,116.73,89.49364,117.34108
43.94375,42.76875,127.9,101.103836,125.43562
43.94375,42.78125,132.0,104.460686,129.44646
43.94375,42.79375,133.76,108.44698,132.96873
43.94375,42.80625,149.09,120.59547,150.10335
43.94375,42.81875,149.11,119.70335,152.28941
43.94375,42.83125,140.02,113.167946,144.80203
43.94375,42.84375,143.23,113.377785,145.62411
43.94375,42.85625,129.79,103.443375,133.60782
43.94375,42.86875,137.8,108.229706,139.97495
43.94375,42.88125,134.88,106.16296,137.74876
43.94375,42.89375,134.7,105.39944,137.03554
43.94375,42.90625,134.82,104.8818,137.249
43.94375,42.91875,133.38,103.17296,135.6589
43.94375,42.93125,122.07,94.22285,125.40602
43.94375,42.94375,122.24,93.05706,124.625244
43.94375,42.95625,117.59,88.940544,121.02394
43.94375,42.96875,114.64,86.62928,119.36401
43.94375,42.98125,113.51,85.68337,118.15948
43.94375,42.99375,113.13,89.6048,106.02696
43.93125,42.00625,166.98,139.88823,170.8895
43.93125,42.01875,164.28,135.6996,165.73796
43.93125,42.03125,153.3,126.76566,154.71281
43.93125,42.04375,163.0,135.70334,165.75311
43.93125,42.05625,156.99,130.18736,159.01505
43.93125,42.06875,161.97,133.40553,162.89146
43.93125,42.08125,159.88,132.24652,162.95952
43.93125,42.09375,160.22,133.35187,164.12125
43.93125,42.10625,171.26,141.89496,174.99438
43.93125,42.11875,174.74,145.04604,178.82591
43.93125,42.13125,173.74,144.62672,177.75758
43.93125,42.14375,172.73,143.50714,176.56908
43.93125,42.15625,175.88,146.3645,180.72884
43.93125,42.16875,175.66,146.41023,181.12646
43.93125,42.18125,175.22,145.96571,181.40271
43.93125,42.19375,171.86,142.4851,177.63132
43.93125,42.20625,174.04,144.90793,180.27673
43.93125,42.21875,176.5,146.4916,181.833
43.93125,42.23125,167.65,139.3654,173.04501
43.93125,42.24375,166.52,137.81935,170.22905
43.93125,42.25625,162.8,133.68983,166.4773
43.93125,42.26875,148.8,123.99884,153.65527
43.93125,42.28125,159.34,130.43356,162.37088
43.93125,42.29375,161.75,132.44902,164.79013
43.93125,42.30625,156.24,128.48232,159.32986
43.93125,42.31875,156.19,127.76401,160.22552
43.93125,42.33125,158.71,130.45781,163.23247
43.93125,42.34375,167.49,138.10861,170.77377
43.93125,42.35625,170.49,141.39989,173.73865
43.93125,42.36875,167.68,139.66228,172.85745
43.93125,42.38125,170.43,141.04008,174.0682
43.93125,42.39375,163.45,133.93018,167.15154
43.93125,42.40625,159.95,130.39122,165.28693
43.93125,42.41875,154.69,125.513405,160.09204
43.93125,42.43125,148.02,120.066,154.32776
43.93125,42.44375,144.51,116.47292,150.33249
43.93125,42.45625,143.16,115.62571,148.5105
43.93125,42.46875,142.47,114.7432,147.43819
43.93125,42.48125,143.65,115.38277,148.517
43.93125,42.49375,148.09,118.621506,152.7284
43.93125,42.50625,138.92,110.57118,144.48793
43.93125,42.51875,140.19,111.32082,144.93994
43.93125,42.53125,141.64,112.7236,146.19398
43.93125,42.54375,142.93,113.46425,146.58455
43.93125,42.55625,136.75,108.014725,141.42928
43.93125,42.56875,135.44,107.096375,139.95898
43.93125,42.58125,136.11,108.24475,139.87428
43.93125,42.59375,131.61,103.33238,134.55624
43.93125,42.60625,133.11,105.3065,135.72063
43.93125,42.61875,131.64,103.16686,132.99606
43.93125,42.63125,131.36,102.907555,133.4184
43.93125,42.64375,130.81,101.58416,133.76657
43.93125,42.65625,123.43,95.404015,127.88075
43.93125,42.66875,117.48,89.99764,122.299065
43.93125,42.68125,115.3,87.65871,120.05739
43.93125,42.69375,114.04,86.50473,118.308334
43.93125,42.70625,113.32,86.00042,117.31546
43.93125,42.71875,116.04,87.97291,119.69099
43.93125,42.73125,117.35,89.21435,121.0023
43.93125,42.74375,119.93,93.361305,120.80987
43.93125,42.75625,138.81,111.02096,136.14098
43.93125,42.76875,144.91,117.75209,144.22954
43.93125,42.78125,162.11,134.86203,165.07874
43.93125,42.79375,163.13,134.29686,164.95087
43.93125,42.80625,156.41,127.55117,158.37013
43.93125,42.81875,153.77,124.68286,156.3276
43.93125,42.83125,147.2,119.62458,151.10176
43.93125,42.84375,150.48,120.81204,151.68553
43.93125,42.85625,141.61,113.19604,143.93793
43.93125,42.86875,147.2,117.14957,149.98059
43.93125,42.88125,145.45,115.365875,148.84166
43.93125,42.89375,141.38,111.55356,144.57806
43.93125,42.90625,136.94,107.32447,139.52013
43.93125,42.91875,136.74,106.80524,138.68475
43.93125,42.93125,132.88,103.166565,135.23859
43.93125,42.94375,129.22,99.445694,131.34538
43.93125,42.95625,124.54,95.31803,127.253456
43.93125,42.96875,116.47,89.83196,117.34729
43.93125,42.98125,122.7,96.04613,122.64058
43.93125,42.99375,124.3,101.35933,117.53322
43.91875,42.00625,183.69,154.64813,187.96729
43.91875,42.01875,170.29,143.17288,172.94789
43.91875,42.03125,157.59,131.14459,160.4388
43.91875,42.04375,172.62,144.48816,172.9963
43.91875,42.05625,171.57,143.47597,172.79245
43.91875,42.06875,152.95,130.80382,158.44882
43.91875,42.08125,181.44,152.30664,185.85165
43.91875,42.09375,180.51,151.5641,183.8011
43.91875,42.10625,182.89,153.84354,187.02943
43.91875,42.11875,181.93,153.03612,186.27237
43.91875,42.13125,180.71,152.11778,186.19794
43.91875,42.14375,183.7,153.93083,188.63629
43.91875,42.15625,178.42,150.45706,184.8848
43.91875,42.16875,181.3,151.95694,186.85883
43.91875,42.18125,179.51,150.66133,185.72531
43.91875,42.19375,177.21,148.20358,182.44308
43.91875,42.20625,162.57,137.77853,169.9299
43.91875,42.21875,174.71,146.02477,179.98143
43.91875,42.23125,178.05,148.38,182.22206
43.91875,42.24375,172.17,143.06285,176.16846
43.91875,42.25625,151.14,127.4936,156.09538
43.91875,42.26875,156.6,131.6141,161.11127
43.91875,42.28125,171.7,142.17616,175.68648
43.91875,42.29375,166.09,138.34334,169.89874
43.91875,42.30625,170.01,140.88107,173.87387
43.91875,42.31875,173.37,143.78384,177.69295
43.91875,42.33125,174.41,144.9295,179.14778
43.91875,42.34375,175.26,146.08794,180.32834
43.91875,42.35625,167.79,139.32376,173.9377
43.91875,42.36875,163.83,136.39261,170.24359
43.91875,42.38125,160.01,133.08481,165.93855
43.91875,42.39375,158.28,130.48434,163.59619
43.91875,42.40625,150.38,125.21314,157.19852
43.91875,42.41875,154.94,127.52667,160.42152
43.91875,42.43125,159.04,129.86507,162.93065
43.91875,42.44375,157.16,128.36713,161.23029
43.91875,42.45625,159.88,130.4998,163.48874
43.91875,42.46875,156.58,127.35418,160.2092
43.91875,42.48125,153.24,124.290344,157.12195
43.91875,42.49375,146.42,117.84007,150.44247
43.91875,42.50625,149.1,119.80859,152.88702
43.91875,42.51875,150.43,121.01785,154.5464
43.91875,42.53125,146.34,117.70618,151.11212
43.91875,42.54375,145.22,116.10324,148.5426
43.91875,42.55625,140.43,112.41054,144.97006
43.91875,42.56875,137.51,110.48276,142.56549
43.91875,42.58125,143.24,115.63116,147.0548
43.91875,42.59375,147.39,118.717186,150.27518
43.91875,42.60625,150.7,120.99245,153.40582
43.91875,42.61875,145.15,116.24772,148.42245
43.91875,42.63125,134.34,106.95023,138.59276
43.91875,42.64375,130.35,102.442604,132.72166
43.91875,42.65625,126.94,98.94366,129.11693
43.91875,42.66875,127.29,97.98858,129.74472
43.91875,42.68125,124.73,95.72774,127.36542
43.91875,42.69375,118.3,90.23694,122.50651
43.91875,42.70625,121.67,92.837296,125.37993
43.91875,42.71875,116.93,89.088394,121.603516
43.91875,42.73125,121.46,93.07085,125.223465
43.91875,42.74375,127.23,98.85406,128.37373
43.91875,42.75625,138.83,111.076454,137.82031
43.91875,42.76875,150.22,122.9374,150.33133
43.91875,42.78125,168.27,139.80734,171.72485
43.91875,42.79375,165.92,137.10564,169.65237
43.91875,42.80625,166.14,136.92778,170.18816
43.91875,42.81875,163.71,134.49152,166.73227
43.91875,42.83125,163.15,133.45055,167.01527
43.91875,42.84375,153.56,124.927986,156.1183
43.91875,42.85625,137.98,112.80191,143.38622
43.91875,42.86875,151.71,121.67966,154.37477
43.91875,42.88125,150.01,120.06854,153.49776
43.91875,42.89375,136.96,110.929756,141.72481
43.91875,42.90625,144.76,114.77708,146.62886
43.91875,42.91875,142.53,112.52938,145.48682
43.91875,42.93125,134.51,105.73754,137.29501
43.91875,42.94375,124.94,98.071556,128.53297
43.91875,42.95625,124.62,97.28669,128.33359
43.91875,42.96875,121.44,95.76904,124.36903
43.91875,42.98125,145.13,119.87515,148.69368
43.91875,42.99375,130.89,107.470085,125.81641
43.90625,42.00625,178.72,152.06598,184.202
43.90625,42.01875,158.17,132.11888,162.75082
43.90625,42.03125,163.35,136.9064,165.96582
43.90625,42.04375,185.42,158.19669,188.6911
43.90625,42.05625,188.84,160.7717,190.47073
43.90625,42.06875,180.04,152.98372,182.38776
43.90625,42.08125,171.12,146.01654,174.32632
43.90625,42.09375,170.48,147.13736,178.43669
43.90625,42.10625,192.18,163.04068,196.87166
43.90625,42.11875,191.42,162.69861,197.49283
43.90625,42.13125,190.26,162.25824,196.4975
43.90625,42.14375,192.18,163.66112,199.23248
43.90625,42.15625,191.63,162.36717,198.03989
43.90625,42.16875,189.59,160.45015,195.37546
43.90625,42.18125,186.47,158.64677,192.78522
